-0.15	0.06879851
-0.145	0.07986314
-0.14	0.09294054
-0.135	0.1085879
-0.13	0.1288067
-0.125	0.151243
-0.12	0.1805592
-0.115	0.2150608
-0.11	0.2581366
-0.105	0.3116289
-0.1	0.3786307
-0.095	0.46269
-0.09	0.5699588
-0.085	0.7095118
-0.08	0.9081064
-0.075	1.147832
-0.07	1.472038
-0.065	1.932659
-0.06	2.568493
-0.055	3.445146
-0.05	4.717907
-0.045	6.556886
-0.04	9.110346
-0.035	12.32302
-0.03	15.67932
-0.025	18.31026
-0.02	19.77281
-0.015	20.38578
-0.01	20.59416
-0.005	20.6539
0.00	20.63991
0.005	20.57739
0.01	20.45901
0.015	20.16811
0.02	19.43627
0.025	17.81505
0.03	15.10027
0.035	11.75394
0.04	8.640117
0.045	6.207469
0.05	4.463069
0.055	3.250338
0.06	2.402547
0.065	1.819067
0.07	1.382134
0.075	1.077283
0.08	0.8519418
0.085	0.6619783
0.09	0.5319093
0.095	0.4305537
0.10	0.3513501
0.105	0.2889652
0.11	0.2393961
0.115	0.1988107
0.12	0.1654462
0.125	0.1389275
0.13	0.1166732
0.135	0.09953611
0.14	0.08410476
0.145	0.07266487
0.15	0.06165711
